dest_ip,dest_port
168.194.226.178,4153
181.236.221.138,4145
161.97.163.52,54450
161.97.163.52,49690
54.196.177.74,3128
3.110.60.103,80
91.221.177.40,80
195.182.192.205,1085
139.59.1.14,80
195.154.184.80,8080
39.108.80.57,1080
161.35.70.249,8080
128.140.46.169,24719
92.42.8.20,4145
45.129.141.143,3128
45.170.226.250,999
185.93.89.187,12605
45.177.80.212,1080
205.209.106.26,3128
123.186.146.68,8088
65.108.203.35,18080
64.202.184.249,15986
45.191.13.233,4153
172.105.193.238,1080
190.14.224.244,3629
188.125.169.221,5678
138.68.60.8,80
46.29.116.6,4145
46.47.82.16,4153
5.78.124.240,40001
220.167.89.46,1080
46.241.20.54,4145
101.251.204.174,8080
154.236.177.103,1977
138.68.60.8,8080
112.5.33.179,999
31.42.185.134,1080
80.190.82.58,14602
149.86.137.246,10820
181.143.59.140,4153
205.185.113.92,1080
91.228.245.196,60606
111.72.193.193,2324
78.63.115.20,8899
95.31.42.199,3629
128.140.46.169,25607
47.116.185.185,1080
134.209.29.120,80
172.212.68.37,3128
62.171.176.129,49173
82.130.202.219,43429
213.230.121.73,3128
159.75.163.60,8080
166.62.121.127,45248
166.62.88.163,45842
89.110.112.141,1080
80.78.66.136,65530
8.210.89.96,1080
134.209.29.120,3128
45.12.132.212,51991
91.99.72.171,23957
200.41.182.243,4145
45.12.132.215,51991
50.63.12.101,1376
82.180.146.146,8088
51.210.111.216,11926
128.140.46.169,37446
45.22.209.157,8888
82.223.165.28,18356
98.152.200.61,8081
104.238.100.115,45314
51.178.68.226,62202
190.2.148.39,1080
82.180.146.146,8099
185.59.100.55,1080
91.99.72.171,17121
46.147.65.44,61986
46.105.105.223,63425
188.124.230.43,17662
189.201.187.3,4145
185.99.33.154,1080
185.134.99.41,4153
186.96.79.64,999
128.140.46.169,20468
175.178.136.39,8080
161.35.70.249,80
132.148.82.125,45605
161.35.82.57,1080
157.175.58.133,1080
112.91.141.121,9001
185.108.163.114,10810
193.106.57.96,5678
185.93.89.147,23454
149.78.186.176,32566
91.99.72.171,53215
51.75.126.150,9676
194.195.122.51,1080
209.97.150.167,8080
108.62.1.97,5257
12.11.59.114,1080
209.97.150.167,80
43.167.180.72,13001
88.245.138.87,1080
91.126.132.83,80
109.69.0.179,5678
45.142.193.18,4109
109.123.254.43,57495
185.93.89.150,6459
77.238.79.111,5678
128.140.46.169,36835
64.202.184.249,60221
122.228.246.248,3128
161.35.31.237,1080
176.97.210.117,3000
190.108.84.168,4145
45.12.132.188,51991
186.224.225.82,42648
185.93.89.158,13575
74.122.101.11,25340
165.227.150.53,40470
us5.localto.net,9023
198.199.86.11,3128
181.204.4.74,5678
161.35.70.249,3128
170.106.151.187,42576
172.233.254.134,1080
176.121.48.78,60606
64.227.131.240,1080
200.125.40.38,5678
212.103.118.77,5678
43.231.192.105,4145
37.18.73.60,5566
187.94.84.130,4153
120.25.199.3,10001
132.148.244.30,45157
128.140.46.169,38163
34.102.48.89,8080
