alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1746814794.692,elite,10343.344962869,1717426099.1525,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,Singapore,Asia,AS,Singapore,SG,"Downtown Core",true,"Shenzhen Tencent Computer Systems Company Limited",1.28423,103.852,false,"Aceville Pte.ltd",false,"Central Singapore",success,Asia/Singapore,048616,1746322380,1746814794.692,19274,socks4,43.159.30.142:19274,true,1240.0081157684,569,88456,0.63914630721707,43.159.30.142
true,1746813896.425,elite,1093.8091172391,1738916580.3545,"AS55990 Huawei Cloud Service data center",HWCSNET,Shanghai,Asia,AS,China,CN,,true,"Huawei Cloud Service data center",31.2304,121.4737,false,"Huawei Cloud Service",true,Shanghai,success,Asia/Shanghai,,1746779637,1746814794.5052,9094,http,119.3.113.150:9094,false,802.14023590088,101748,3821,96.380566264718,119.3.113.150
true,1746710487.2318,elite,307.03247509334,1746169827.415,"AS16509 Amazon.com, Inc.",AMAZON-02,Mumbai,Asia,AS,India,IN,,true,"Amazon Technologies Inc.",19.076,72.8777,false,"AWS EC2 (ap-south-1)",false,Maharashtra,success,Asia/Kolkata,400001,1746774667,1746814791.5331,80,http,3.110.60.103:80,false,295.99475860596,11298,9,99.920403289997,3.110.60.103
true,1746814791.5322,anonymous,2745.4450167323,1730708075.9606,"AS4230 CLARO S.A.","CLARO S.A.",Teresina,"South America",SA,Brazil,BR,,false,"Claro S.A",-5.3051,-42.8502,false,"Telcabos - Telecomunicações e Informática",true,Piauí,success,America/Fortaleza,64000,1746575858,1746814791.5322,80,http,189.22.234.37:80,false,1712.7463817596,101685,99819,50.463018103859,189.22.234.37
true,1746813596.3373,elite,1619.411957558,1746737150.661,"AS45899 VNPT Corp",VNPT-AS-VN,"Bắc Giang",Asia,AS,Vietnam,VN,,false,VNPT,21.2749,106.1933,false,"Vietnam Posts and Telecommunications Group",false,"Bắc Giang Province",success,Asia/Bangkok,230000,1746737152,1746814791.2856,8080,http,113.183.72.12:8080,false,648.35715293884,1054,341,75.555555555556,113.183.72.12
true,1746814790.6915,elite,1412.0059922831,1710545082.433,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Atlanta,"North America",NA,"United States",US,"Perimeter Center",false,"Cox Communications Inc.",33.9149,-84.3446,false,"Cox Communications",true,Georgia,success,America/New_York,30319,1746713193,1746814790.6915,4145,socks4,98.170.57.249:4145,true,873.77858161926,136475,343025,28.461939520334,98.170.57.249
true,1746814645.2008,elite,2050.9447798532,1710634251.4411,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Alibaba Cloud (Singapore) Private Limited",1.35208,103.82,false,"Alibaba.com Singapore E-Commerce Private Limited",true,"North West",success,Asia/Singapore,858877,1746575626,1746814790.2995,80,http,8.219.97.248:80,false,2565.2284622192,406543,151896,72.799893990212,8.219.97.248
true,1746814581.225,elite,1819.6832853205,1744937121.1985,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1746232697,1746814789.6388,25855,http,72.10.160.171:25855,false,881.07299804688,51,12199,0.41632653061224,72.10.160.171
true,1746814788.8022,elite,3106.7322795976,1744957743.6794,"AS138915 Kaopu Cloud HK Limited",KAOPU-HK,Dubai,Asia,AS,"United Arab Emirates",AE,,false,"Kaopu Cloud HK Limited",25.0734,55.2979,false,KAOPUCLOUD-ARE,true,Dubai,success,Asia/Dubai,,1746776124,1746814788.8022,8080,http,38.54.9.151:8080,false,2244.500875473,668,28201,2.31390072396,38.54.9.151
true,1746814788.4665,elite,2397.9230507889,1744920753.2,"AS214415 Nebius B.V.",NebiusPA10,Paris,Europe,EU,France,FR,,false,"Nebius B.V",48.8558,2.3494,false,"Nebius B.V",false,Île-de-France,success,Europe/Paris,75000,1746735239,1746814788.4665,3128,http,66.201.7.151:3128,false,1077.3875713348,16453,13873,54.253775638066,66.201.7.151
